"date","week","location","age_group","percentage"
2021-10-10,40,"DE","00-04",23.1
2021-10-17,41,"DE","00-04",18.9
2021-10-24,42,"DE","00-04",17.6
2021-10-31,43,"DE","00-04",17.4
2021-11-07,44,"DE","00-04",16.4
2021-11-14,45,"DE","00-04",19.9
2021-11-21,46,"DE","00-04",15.6
2021-11-28,47,"DE","00-04",14.8
2021-12-05,48,"DE","00-04",15.9
2021-12-12,49,"DE","00-04",14.6
2021-12-19,50,"DE","00-04",12.2
2021-12-26,51,"DE","00-04",10.8
2022-01-02,52,"DE","00-04",6.1
2022-01-09,1,"DE","00-04",6.3
2022-01-16,2,"DE","00-04",14.6
2022-01-23,3,"DE","00-04",19.8
2022-01-30,4,"DE","00-04",11.7
2022-02-06,5,"DE","00-04",10.8
2022-02-13,6,"DE","00-04",16.4
2022-02-20,7,"DE","00-04",18.4
2022-02-27,8,"DE","00-04",18.9
2022-03-06,9,"DE","00-04",13.4
2022-03-13,10,"DE","00-04",15.9
2022-03-20,11,"DE","00-04",15
2022-03-27,12,"DE","00-04",15.7
2022-04-03,13,"DE","00-04",13.1
2022-04-10,14,"DE","00-04",15.3
2022-04-17,15,"DE","00-04",13.4
2022-04-24,16,"DE","00-04",9.4
2022-05-01,17,"DE","00-04",12
2022-05-08,18,"DE","00-04",16.6
2022-05-15,19,"DE","00-04",12.9
2022-05-22,20,"DE","00-04",14.7
2022-05-29,21,"DE","00-04",14.4
2022-06-05,22,"DE","00-04",12.5
2022-06-12,23,"DE","00-04",11
2022-06-19,24,"DE","00-04",11.7
2022-06-26,25,"DE","00-04",14.1
2022-07-03,26,"DE","00-04",14.1
2022-07-10,27,"DE","00-04",12.9
2022-07-17,28,"DE","00-04",12
2022-07-24,29,"DE","00-04",11.1
2022-07-31,30,"DE","00-04",7.8
2022-08-07,31,"DE","00-04",7.4
2022-08-14,32,"DE","00-04",7.9
2022-08-21,33,"DE","00-04",10.7
2022-08-28,34,"DE","00-04",8.1
2022-09-04,35,"DE","00-04",7.5
2022-09-11,36,"DE","00-04",15.3
2022-09-18,37,"DE","00-04",16.4
2022-09-25,38,"DE","00-04",20.8
2022-10-02,39,"DE","00-04",18.9
2022-10-09,40,"DE","00-04",15.8
2022-10-16,41,"DE","00-04",16
